人才ID,名字,系列id,性别,人才品质,初始资质,人才职业,技能-初始资质,技能-商铺,潜能技能,光环,人才介绍,获取途径,获取途径描述,名字.1,人才介绍.1,描述
id,name,sid,sex,quality,aptitude,type,skill_zz,skill_sp,skill_qn,skill_gh,desc,getWay,getWayDesc,,,
id,name.multi.4,sid,sex,qua,apt,t,skill_zz.arr,skill_sp.arr,skill_qn.arr,skill_gh.arr,,,,,,
500001,t_heronew_name500001,0,1,1,20,4,"[1001,1014,1051]","[1061,1071]",,[],t_heronew_dec500001,1031,t_hero_getway45,智,五竹,蒙眼黑衣的冷冽杀神，以铁钎为笔、以沉默为墨，用机械般的精准守护范闲二十年，是庆国最锋利的刀，也是穿越者叶轻眉留给世间最温柔的谜。
500004,t_heronew_name500004,0,1,1,20,2,"[1001,1012,1051]","[1061,1071]",,[],t_heronew_dec500004,1031,t_hero_getway4,力,费介,监察院三处主办，用毒宗师兼范闲启蒙老师，表面玩世不恭实则护短情深，以“毒道即人道”的哲学培养出范闲的生存智慧。
500006,t_heronew_name500006,0,1,1,20,2,"[1001,1012,1051]","[1061,1071]",,[],t_heronew_dec500006,1031,t_hero_getway12,力,宫典,南庆禁军统领兼大内侍卫总指挥，叶重师弟，表面效忠庆帝却深谙权术，以撕毁太子所赠字画事件显露其政治敏锐性。
500008,t_heronew_name500008,0,1,1,20,1,"[1001,1011,1051]","[1061,1071]",,[],t_heronew_dec500008,1031,t_hero_getway8,势,柳如玉,范思辙生母，粉裳珠钗掩不住算盘声，七分隐忍藏半生权谋，三分泼辣护犊情，终是深宅困不住的精明魂。
500009,t_heronew_name500009,0,1,1,20,1,"[1001,1011,1051]","[1061,1071]",,[],t_heronew_dec500009,1031,t_hero_getway9,势,贺宗纬,青袍玉带裹着蛇信子般的野心，御前叩首时腰牌压着范闲的罪证奏章，笑眼温润里淬着九分算计一分惧——终究是庆帝棋枰上那枚过河卒。
500015,t_heronew_name500015,0,1,1,20,5,"[1001,1015,1051]","[1061,1071]",,[],t_heronew_dec500015,1031,t_hero_getway23,敏,李弘成,从风流世子蜕变为铁血将军的靖王嫡子，痴恋范若若终成眷属，政治沉浮后选择远离朝堂行医。
500016,t_heronew_name500016,0,1,2,40,4,"[1002,1024,1052]","[1061,1071]",[2001],[],t_heronew_dec500016,1031,t_hero_getway24,智,郭保坤,"中礼部尚书之子，从嚣张跋扈的纨绔蜕变为重情重义的喜剧角色，以""自诩天才暗探""的荒诞表现和救父尽孝的真性情形成鲜明反差。"
500018,t_heronew_name500018,0,1,2,40,4,"[1002,1024,1052]","[1061,1071]",[2003],[],t_heronew_dec500018,1031,t_hero_getway2,智,李承乾,庆国太子，表面温润儒雅实则阴鸷偏执，作为庆帝长子深陷权力漩涡，最终因谋反被废，展现了皇室继承人的悲剧性宿命。
500019,t_heronew_name500019,0,1,2,40,2,"[1002,1022,1052]","[1061,1071]",[2004],[],t_heronew_dec500019,1031,t_hero_getway14,力,李承泽,庆帝与淑贵妃之子，他热爱诗书，有才华，却被迫卷入皇位争夺。他与范闲有复杂的关系，既欣赏范闲的才气，又因利益冲突而对立。最终，李承泽在谋反失败后饮鸩自尽，在遗书末尾写下“鳏、寡、孤、独”四字。
500023,t_heronew_name500023,0,1,2,40,1,"[1002,1021,1052]","[1061,1071]",[2008],[],t_heronew_dec500023,1031,t_hero_getway7,势,朱格,监察院四处主办，表面忠于庆帝实则暗通长公主的权谋者，最终因背叛监察院核心信条被陈萍萍处决。
500027,t_heronew_name500027,0,1,2,40,3,"[1002,1023,1052]","[1061,1071]",[2012],[],t_heronew_dec500027,1031,t_hero_getway18,韧,叶灵儿,"南庆朝堂最飒的那抹剑光，马尾高束英姿勃发的将门虎女，用九品剑术在京都贵女中劈出条不寻常的路。她是范闲武道修行路上的最佳陪练，从互相嫌弃到生死托付，把傲娇师姐活成了令敌人胆寒的""叶家女阎罗""。"
500032,t_heronew_name500032,0,1,2,50,3,"[1002,1023,1052]","[1061,1071]",[2017],[],t_heronew_dec500032,1031,t_hero_getway24,韧,言若海,南庆鉴查院四处主办，言冰云养父。鉴查院暗夜执棋者，冷面藏锋的权谋孤臣，以叛臣之名行护国之实，如刀鞘般隐忍承托陈萍萍的惊世棋局。
500033,t_heronew_name500033,0,1,3,65,2,"[1003,1032,1053]","[1061,1071]",[2018],[],t_heronew_dec500033,1031,t_hero_getway45,力,王十三郎,四顾剑弟子，助范闲弑帝，继承剑庐。
500034,t_heronew_name500034,0,1,3,65,1,"[1003,1031,1053]","[1061,1071]",[2019],[],t_heronew_dec500034,1031,t_hero_getway2,势,云之澜,"四顾剑首徒，东夷城九品上剑客，表面冷峻孤傲实则重情重义，以""一剑破光阴""的绝世剑术守护剑庐一脉。"
500035,t_heronew_name500035,0,1,3,65,3,"[1003,1033,1053]","[1061,1071]",[2020],[],t_heronew_dec500035,1031,t_hero_getway14,韧,谭武,"监察院六处主办，冷峻寡言的暗杀高手，以铁血手段和绝对忠诚著称的""影子""般存在。"
500036,t_heronew_name500036,0,1,3,65,5,"[1003,1035,1053]","[1061,1071]",[2021],[],t_heronew_dec500036,1031,t_hero_getway4,敏,狼桃,"北齐九品上高手，外表憨厚如老农实则心狠手辣的武道宗师，以""打不过就下毒""的阴险作风闻名四境。"
500038,t_heronew_name500038,0,1,3,60,5,"[1003,1035,1053]","[1061,1071]",[2023],[],t_heronew_dec500038,1031,t_hero_getway12,敏,洪四庠,南庆太监总管兼太后心腹，表面被误认为大宗师级高手实则九品巅峰，因身体残缺无法晋升宗师，最终沦为庆帝布局的棋子在大东山之战中惨死。
500040,t_heronew_name500040,0,1,3,65,5,"[1003,1035,1053]","[1061,1071]",[2025],[],t_heronew_dec500040,1031,t_hero_getway8,敏,范思辙,范建嫡子，范闲名义上的弟弟，无血缘关系；在商贾之术上有天赋之才，连范闲都自叹不如。
500041,t_heronew_name500041,0,1,3,50,4,"[1003,1034,1053]","[1061,1071]",[2026],[],t_heronew_dec500041,1031,t_hero_getway9,智,范闲,庆国户部尚书范建养子，实为庆帝与叶轻眉之子，表面玩世不恭实则智谋无双，以现代记忆与霸道真气搅动庙堂江湖。
500042,t_heronew_name500042,0,1,3,55,5,"[1003,1035,1053]","[1061,1071]",[2027],[],t_heronew_dec500042,1031,t_hero_getway17,敏,藤梓荆,监察院暗探出身，范闲生死兄弟，重情重义最终为护主牺牲的悲情武者。
500049,t_heronew_name500049,0,1,3,70,4,"[1003,1034,1053]","[1061,1071]",[2034],"[3001,3101,3201,3301]",t_heronew_dec500049,1031,t_hero_getway45,智,四顾剑,四大宗师之一，东夷城疯癫剑圣，一剑破万法，杀伐果决，临终仍以残躯守城。
500050,t_heronew_name500050,0,1,3,70,2,"[1003,1032,1053]","[1061,1071]",[2035],"[3001,3101,3202,3301]",t_heronew_dec500050,1031,t_hero_getway2,力,叶流云,四大宗师之一，南庆叶家家主，自创流云散手，身法诡谲，唯一未依赖神庙的武道天才。
500051,t_heronew_name500051,0,1,3,70,3,"[1003,1033,1053]","[1061,1071]",[2036],"[3001,3101,3203,3301]",t_heronew_dec500051,1031,t_hero_getway14,韧,苦荷,四大宗师之一，北齐国师兼天一道掌门，防御至强却攻弱，被庆帝算计爆体而亡。
500052,t_heronew_name500052,0,1,3,70,1,"[1003,1031,1053]","[1061,1071]",[2037],"[3001,3101,3204,3301]",t_heronew_dec500052,1031,t_hero_getway4,势,叶轻眉,"穿越者，曾以现代科技与思想助庆帝登基并创立内库、鉴查院，其名""轻眉""彰显女性觉醒意识，最终因威胁皇权被庆帝暗杀，成为贯穿古今叙事的关键悲剧符号。"
500053,t_heronew_name500053,0,1,3,70,5,"[1003,1035,1053]","[1061,1071]",[2038],"[3001,3101,3205,3301]",t_heronew_dec500053,1031,t_hero_getway5,敏,叶教授,"兼具现代学者理性与古代改革家魄力的双时空人物，其前世叶轻眉以""轻视须眉""之名颠覆封建秩序"
